Structure(SMILES)	DSSTox_Structure_Id
[Na+].O=S(=O)([N-]C(=O)Nc1nc(OC)cc(OC)n1)c1ncccc1OCC(F)(F)F	DTXCID6020222
CCN(CC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O	DTXCID7020265
Clc1ccc(cc1Nc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F)C(F)(F)F	DTXCID8020331
FC(F)(F)Oc1ccc(cc1)NC(=O)NN=C(Cc1ccc(C#N)cc1)c1cccc(c1)C(F)(F)F	DTXCID60196514
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F	DTXCID1020487
O=S(=O)(N(CC(F)(F)F)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F)c1ccccc1	DTXCID4020618
O=C(O)COc1ccc(cc1C)SCc1sc(nc1C)c1cc(F)c(cc1)C(F)(F)F	DTXCID7020760
FC(F)(F)Oc1ccc(cc1)N(C(=O)OC)C(=O)N1N=C2c3ccc(Cl)cc3CC2(OC1)C(=O)OC	DTXCID1020801
FC(F)(F)c1nn(C)c(SCc2ccccc2Cl)c1C=NO	DTXCID901473982
O=C(O)COc1ccc(cc1C)SCc1sc(nc1C)c1ccc(cc1)C(F)(F)F	DTXCID1021037
O=C(NC)c1cc(Oc2ccc(NC(=O)Nc3cc(c(Cl)cc3)C(F)(F)F)cc2)ccn1	DTXCID5021128
FC(F)(F)c1ccc(cc1)Nc1nc(ccn1)c1cccc(Cl)c1	DTXCID8021149
FC(F)(F)Oc1ccc(cc1)CO[C@H]1Cn2cc(nc2OC1)[N+]([O-])=O	DTXCID6021163
BrC(F)(F)C(Br)(F)F	DTXCID8021226
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXCID2021284
[Na+].[O-]S(=O)(=O)CC(O)CN(CCCN(C)C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7021285
[Na+].[O-]S(=O)(=O)CC(O)CN(CCCN(C)C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2021286
C=CC(F)(F)F	DTXCID7021287
FC(F)(F)c1cccc(c1)C(=O)O	DTXCID0021460
Fc1ccc(NC(=O)c2cccnc2Oc2cccc(c2)C(F)(F)F)c(F)c1	DTXCID2021494
Brc1c(C#N)c([NH]c1C(F)(F)F)c1ccc(Cl)cc1	DTXCID4021503
FC(F)(F)C(=O)O	DTXCID7021578
Clc1cc(ccc1Oc1cc(C(=O)OC)c(cc1)[N+]([O-])=O)C(F)(F)F	DTXCID6021583
CC1(C)[C@@H]([C@@H]1\C=C/C(=O)OC(C(F)(F)F)C(F)(F)F)C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1	DTXCID1021584
FC(F)(C(F)(F)C(F)=O)C(F)(F)F	DTXCID8021696
O=C(OCCCC)[C@H](C)Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F	DTXCID5021700
FC(F)(F)F	DTXCID0021757
Fc1cccc(F)c1C(=O)NC(=O)Nc1cc(Cl)c(Oc2ncc(cc2Cl)C(F)(F)F)c(Cl)c1	DTXCID3021772
FC(F)(F)c1nc2c(ccc(Cl)c2Cl)[NH]1	DTXCID8021773
FC1(F)C(F)(F)C(F)(F)C1(F)F	DTXCID7021811
FC(F)(F)c1ccc(cc1)N1N=CC(N)=C(Cl)C1=O	DTXCID9021841
FC(F)(F)C(F)(F)F	DTXCID0021915
FC(F)(F)C(=O)OCC	DTXCID6021959
FC(F)(F)c1nc2cc(Cl)c(Cl)cc2n1C(=O)Oc1ccccc1	DTXCID0021969
Clc1cc(ccc1Oc1ccc(NC(=O)NC(=O)c2c(F)cccc2F)c(F)c1)C(F)(F)F	DTXCID9021978
O=S(=O)(Nc1cc(ccc1C)NC(C)=O)C(F)(F)F	DTXCID3021980
Clc1cc(ccc1Oc1cc(C(=O)OCC(=O)OCC)c(cc1)[N+]([O-])=O)C(F)(F)F	DTXCID8021983
Oc1c(cc(Br)cc1Br)C(=O)Nc1cc(ccc1)C(F)(F)F	DTXCID8021985
FC(F)(F)c1cccc(c1)N1CC(CCl)C(Cl)C1=O	DTXCID8021987
[K+].FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CC(=O)[O-])CC	DTXCID1022009
O=C(O)C(C)Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F	DTXCID5022019
ClC(F)(F)C(Cl)F	DTXCID9022021
FC(F)C(Cl)(Cl)F	DTXCID4022022
FC(F)C(Cl)(F)F	DTXCID9022023
FC(F)C(Cl)(Cl)C(F)(F)F	DTXCID4022024
FC(F)(F)C(Cl)(F)C(Cl)F	DTXCID9022025
FC(F)C(Cl)(F)C(Cl)(F)F	DTXCID4022026
ClC(Cl)C(F)(F)C(F)(F)F	DTXCID9022027
FC(F)(Cl)C(F)(F)C(Cl)F	DTXCID4022028
FC(F)C(F)(F)C(Cl)(Cl)F	DTXCID9022029
FC(F)(F)C(Cl)C(Cl)(F)F	DTXCID8022030
FC(F)(Cl)C(F)C(Cl)(F)F	DTXCID3022031
FC(F)(F)C(F)C(Cl)(Cl)F	DTXCID8022032
ClCCC(F)(F)F	DTXCID3022033
CC(F)(F)F	DTXCID7022047
FC(F)(F)C(F)C(F)(F)F	DTXCID2022048
FC(F)(F)c1cc(ccc1)N1N=CC(=C(Cl)C1=O)N(C)C	DTXCID6022133
O=C(OC)CC(O)C(C)Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F	DTXCID0022147
Clc1cc(ccc1Oc1ccc(cc1)[N+]([O-])=O)C(F)(F)F	DTXCID7022205
O=C(Nc1ccc(cc1)C(F)(F)F)N(C)C	DTXCID7022255
O=C(Nc1ccc(cc1)C(F)(F)F)NC(=O)c1c(F)cccc1F	DTXCID6022262
O=S(=O)(c1ccccc1)c1cc(C)c(NS(=O)(=O)C(F)(F)F)cc1	DTXCID1022267
Clc1cc(ccc1Oc1ccc([N+]([O-])=O)c(O)c1)C(F)(F)F	DTXCID0022278
FC(F)(F)C(F)(C(F)(F)OC)C(F)(F)F	DTXCID301020834
FC(F)(Oc1cccc(c1)NC(=O)N(C)C)C(F)F	DTXCID2022460
FC(F)(F)c1ccc(cc1)C(\CCCCOC)=N\OCCN.O=C(O)/C=C\C(=O)O	DTXCID1022558
FC(F)Oc1ccc(cc1OC)C=1C=CC(=O)NN=1	DTXCID6022559
CN1CCN(CC1)c1nc2cc(ccc2n2cccc12)C(F)(F)F.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O	DTXCID8022589
Fc1cc(cc(c1)NC(=O)N1CCc2cc(OC)c(cc21)C(F)(F)F)c1cccnc1	DTXCID7022621
Clc1ccc(cc1)C=1CCC(C)(C)CC=1CN1CCN(CC1)c1ccc(cc1)C(=O)NS(=O)(=O)c1ccc(N[C@H](CCN2CCOCC2)CSc2ccccc2)c(c1)S(=O)(=O)C(F)(F)F	DTXCID0022640
Cc1ccc(cc1Nc1nc(ccn1)c1cccnc1)C(=O)Nc1cc(cc(c1)n1cc(C)nc1)C(F)(F)F	DTXCID3022663
O=C1CCCC(=O)C1C(=O)c1ccc(cc1[N+]([O-])=O)C(F)(F)F	DTXCID7022673
FC(F)(F)c1ccc2c(c1)n(nc2/C=C/C(=O)O)Cc1ccc(Cl)cc1Cl	DTXCID2022676
FC(F)(F)c1cc(Cl)c(c(Cl)c1)n1nc(C#N)c(c1N)C(F)(F)F	DTXCID8023719
CN1CCN(CC1)c1nc2cc(ccc2n2cccc12)C(F)(F)F	DTXCID1023730
FC(F)(F)C(=O)C(F)(F)F	DTXCID7023778
Cl.FC(F)(F)c1cccc(c1)C1CC(C)(C)Oc2cc(ccc21)OCCN(C)C	DTXCID5023900
Cl.FC(F)(F)c1ccc(cc1)C1CC(C)(C)Oc2cc(ccc21)OCCN(C)C	DTXCID0023901
FC(F)(F)c1cccc(c1)C1CC(C)(C)Oc2cc(ccc21)OCCN(C)C	DTXCID5023956
FC(F)(F)c1ccc(cc1)C1CC(C)(C)Oc2cc(ccc21)OCCN(C)C	DTXCID0023957
O=S(=O)(NC(=O)Nc1nc(OC)cc(OC)n1)c1ncccc1OCC(F)(F)F	DTXCID8023971
COC1=NN(C(=O)NS(=O)(=O)c2ccccc2OC(F)(F)F)C(=O)N1C	DTXCID8023979
FC(F)(F)c1ccc(cc1)C(\CCCCOC)=N\OCCN	DTXCID0024002
FC(F)(F)c1cccc(c1)/C=C/C(=O)NC[C@H]1c2c(C[C@H]3[C@H]4c5c(C[C@H](N4C)[C@H](O)N13)cc(C)c(OC)c5O)c(OC(C)=O)c(C)c1OCOc12	DTXCID8024026
O=C(Cc1ccc(OC(F)(F)F)cc1)N1CCC[C@H](C1)c1cccc(OC(C)(C)C(=O)O)c1	DTXCID2024032
FC(F)(F)C(F)(F)CCCS(=O)CCCCCCCCC[C@@H]1c2ccc(O)cc2CC[C@]1(C)c1ccc(O)cc1	DTXCID601514141
Clc1cncc(Cl)c1NC(=O)c1ccc(OC(F)F)c(OCC2CC2)c1	DTXCID6024123
