Structure(SMILES)	DTXCID
FC1(F)[C@]2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C@@]2(F)C(F)(F)C(F)(F)C1(F)F	DTXCID501506555
FC1(F)[C@@]2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[C@@]2(F)C(F)(F)C1(F)F	DTXCID601506560
FC1(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(Cl)F	DTXCID30329852
FC1(Cl)C(F)(F)C(Cl)(F)C1(F)F	DTXCID6039055
FC1(C2=C(F)C(F)(F)C2(F)F)C(F)(F)C(F)(F)C1(F)F	DTXCID30452159
FC1(C2=C(C3(F)C(F)(F)C(F)(F)C3(F)F)C(F)(F)C2(F)F)C(F)(F)C(F)(F)C1(F)F	DTXCID70452158
FC1(C(F)(F)C(F)(F)C1(F)F)C(F)(F)F	DTXCID50382808
FC1(C(F)(F)C(F)(C(F)(F)C(F)(C(F)(F)F)C1(F)F)C(F)(F)F)C(F)(F)F	DTXCID20331065
FC1(C(F)(C(F)(F)F)C(F)(F)C1(F)F)C(F)(F)F	DTXCID201021772
FC1(C(F)(C(F)(F)C(F)(C(F)(C(F)(F)F)C1(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID60344376
FC1(Br)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(Br)F	DTXCID101383230
FC=1C(F)=C(F)C(F)(F)C=1F	DTXCID30293342
FC=1C(F)=C(F)C(F)(F)C=1Cl	DTXCID50494354
FC=1C#CC(F)=C(F)C=1F	DTXCID70427462
FC(I)=C(F)I	DTXCID40299052
FC(F)(I)I	DTXCID10322861
FC(F)(I)C(F)(F)I	DTXCID0039013
FC(F)(F)I(F)(F)(F)F	DTXCID40289731
FC(F)(F)I	DTXCID8036815
FC(F)(F)F	DTXCID0021757
FC(F)(F)c1c2c(c(F)c(F)c1F)C(F)(F)C(F)(F)C2(F)F	DTXCID70490934
FC(F)(F)c1c(F)c2c(c(F)c1F)C(F)(F)C(F)(F)C2(F)F	DTXCID101513205
