Structure(SMILES)	DTXSID	FW
O=P(CCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)(OCC)OCC	DTXSID001023772	1114.2703
C/C(C(=O)c1cccs1)=C(\C(F)(F)F)C(F)(F)F	DTXSID60303822	288.2095
CN1C=C[NH+](CCCC)C1.FC(F)C(F)(F)C(F)(F)C(F)(F)COS([O-])(=O)=O	DTXSID80826629	452.3611 (311.1277+141.2334)
FC(F)(C(c1ccc[NH]1)c1ccc[NH]1)C(F)(F)C(F)(F)F	DTXSID50896011	314.2021
CCP(=O)(OC(C)C)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301023319	304.1423
FC1(F)C(F)(F)C(Br)(F)C1(Br)F	DTXSID90371594	321.8412
FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00192353	528.1828
ClC(Cl)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301035304	483.0313
FC(F)(C(F)(F)CCN)C(F)(F)C(F)(F)C(F)(F)F	DTXSID80893412	313.1117
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(Br)CBr	DTXSID90371599	405.8816
O=COC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C[N+](C)(C)CC=O	DTXSID301036633	692.2825
FC(F)(F)C1(OC(=O)C(=CC)O1)C(F)(F)F	DTXSID70837446	250.0953
FC(OCC(=O)C)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID201026203	358.1059
FC(F)(F)C(F)(F)C(F)(F)C(=O)Nc1cc2Cc3cccc(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)c3c2cc1	DTXSID70231581	589.2787
FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID20892929	345.0630
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)N(C)CC=1[O-][Cr+2]([Cl-])([Cl-])[OH-][Cr+2]([Cl-])([Cl-])[OH-][Cr+2]([Cl-])([Cl-])O=1	DTXSID30883020	972.9222
FC(F)(C(F)(F)C(F)F)C(F)(F)C=C	DTXSID801032929	228.0832
FC1(F)C(F)(F)C(F)(F)C(F)(F)OC1(F)I	DTXSID30836652	373.9430
FC(F)(C(F)(F)C(=O)OC)C(F)(F)F	DTXSID4059881	228.0649
O=C(\N=C(/C(F)(F)F)C(F)(F)F)c1ccc(Cl)cc1	DTXSID50495482	303.5883
FC(=CC(=O)OCC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20818942	386.1343
FC(F)(F)C(F)(F)CCCSCCCCOc1ccc(cc1)C=1c2ccc(O)cc2CCCC=1c1ccccc1	DTXSID101026993	576.6602
FC(F)(C(F)(F)COC)C(F)(F)C(F)F	DTXSID001022455	246.0985
FC(F)(C(F)(F)OC(C(F)(F)F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID001023784	604.0788
FC(F)(C(=O)OOC(=O)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID4059883	326.0458
FC(F)(F)C(F)(F)N=NC(F)(F)C(F)(F)F	DTXSID30631326	266.0402
