SMILES,logKow_EPISuite
C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](=O)(=O)N(CC)CCO[P](=O)(OCCN(CC)[S](C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(=O)=O)O[H],12.6
FC(C(F)(F)C(F)(C(F)(F)C(F)(F)F)F)(C(F)(C(F)(C(F)(C(F)(C(F)(F)CCOP(O)(OCCC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)F)F)=O)F)F)F)F)F,16.11
FC(F)(C(F)(C(F)(C(F)(F)CCOP(O)(OCCC(F)(C(F)(F)C(F)(F)C(F)(F)F)F)=O)F)F)F,6.75
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(CCC)=O,4.74
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(N)=O,3.79
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(NCC)=O,4.75
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(N)=O,4.46
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(NCC)=O,5.42
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(N)=O,5.13
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(N)=O,5.8
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,6.27
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(N)=O,3.13
OC(CNS(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(=O)=O)=O,3.51
OC(CNS(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(=O)=O)=O,4.18
OC(CNS(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(F)F)(=O)=O)=O,4.85
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(NCC(O)=O)(=O)=O,2.85
C(N([S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCO)C,3.32
